Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,47,57,10
tomato,1,42,52,10
onion,2,31,38,10
celery,3,25,17,10
carrot,4,24,16,10
basil,5,20,15,9
garlic,6,19,17,10
pasta,7,16,10,9
white_wine,8,16,12,10
flour,9,15,12,6
peppercorn,10,14,7,10
rosemary,11,13,8,10
white,12,12,6,9
lemon,13,11,6,7
bay_leaf,14,11,4,10
red_pepper,15,10,3,9
thyme,16,10,2,10
egg,17,10,7,6
oregano,18,8,1,9
potato,19,8,4,7
sage,20,7,2,7
chicken_stock,21,7,2,7
olive_oil,22,6,2,6
butter,23,6,3,5
red_wine,24,6,3,5
nutmeg,25,6,3,5
tomato_paste,26,5,2,5
veal,27,5,2,5
chicken,28,5,2,5
milk,29,5,3,4
red_onion,30,5,2,5
beef,31,5,2,5
chilli,32,5,1,6
mushroom,33,5,2,5
ricotta,34,4,1,5
cheese,35,4,1,5
caper,36,4,2,4
anchovy,37,4,2,4
spring_onion,38,4,2,4
bread,39,4,1,5
sugar,40,4,1,5
zucchini,41,3,1,4
pork,42,3,1,4
spaghetti,43,3,1,4
egg_yolk,44,2,1,3
bean,45,2,1,3
mozzarella,46,2,1,3
wine_vinegar,47,2,2,2
eggplant,48,2,1,3
pine_nut,49,1,1,2
squid,50,1,1,2
mussel,51,1,1,2
mint,52,1,1,2
prosciutto,53,1,1,2
black_olive,54,1,1,2
raisin,55,1,1,2
penne,56,1,1,2
semolina,57,1,1,2
globe_artichoke,58,1,1,2
shrimp,59,1,1,2
