chinese_parsley,cilantro
beef_roast,roast_beef
chile,chilli
sprout,stock
cheddar,cheddar_cheese
jerusalem_artichokes,sunchoke
black_cherry,sweet_cherry
ocean_perch,redfish
fennel,florence_fennel
artichoke,globe_artichoke
brittle,toffee
anise_seed,aniseed
ascorbic_acid,vitamin_c
pimiento,sweet_pepper
cilantro,coriander
worcester_sauce,worcestershire_sauce
carbonated_water,club_soda
cayenne,cayenne_pepper
navy_bean,pea_bean
aubergine,eggplant
endive,escarole
citrus,citrus_fruit
dessert,sweet
black_pepper,pepper
bream,sea_bream
coriander,coriander_seed
cocoa,drinking_chocolate
chicken_broth,chicken_stock
chickpea,garbanzo
courgette,zucchini
gammon,ham
egg_white,white
beef_broth,beef_stock
vino,wine
hare,rabbit
prawn,shrimp
cumin,cumin_seed
pea_bean,white_bean
turnip,white_turnip
frankfurter,hot_dog
papaya,pawpaw
gouda,gouda_cheese
port,port_wine
coconut_cream,coconut_milk
cayenne_pepper,red_pepper
calamari,squid
maraschino,maraschino_cherries
durum_wheat,hard_wheat
rock_lobster,spiny_lobster
muscat,muscat_grape
purple_onion,red_onion
food_coloring,food_colouring
pepper,peppercorn
broccoli_raab,broccoli_rabe
wheat,wheat_berry
bass,sea_bass
gray_mullet,grey_mullet
filbert,hazelnut
self-raising_flour,self-rising_flour
camomile,chamomile
cookie,cooky
haricot_vert,haricots_verts
seville_oranges,sour_orange
salmon_trout,sea_trout
grey_mullet,mullet
soft-shell_clam,steamer_clam
brown_bread,whole_wheat_bread
black_bean,turtle_bean
biscuit,cookie
oatmeal,rolled_oats
pistachio,pistachio_nut
cob,cobnut
lasagna,lasagne
bell_pepper,paprika
soda,soda_water
golden_syrup,treacle
marjoram,oregano
dill,dill_weed
chocolate_truffle,truffle
green_onion,scallion
rockfish,striped_bass
arugula,rocket
celeriac,celery_root
soy,soy_sauce
graham_flour,whole_wheat_flour
spinach_beet,swiss_chard
pasta_sauce,spaghetti_sauce
rutabaga,swede
sour_cream,soured_cream
anise,anise_seed
licorice,liquorice
fish fillet,fillet
chinese_cabbage,chinese_celery
scallion,spring_onion
cos_lettuce,romaine
beet,beetroot
crab,crabmeat
yoghurt,yogurt
milk_powder,powdered_milk
chip,potato_chip
caster_sugar,castor_sugar
wax_bean,yellow_bean
sorrel,wood_sorrel
crown_roast,rack_of_lamb
belgian_endive,witloof
filet,fillet
light_cream,single_cream
bulghur,bulgur
chocolate,cocoa
cereal,grain
butter_bean,lima_bean
broad_bean,fava_bean
italian_rice,risotto
cobnut,filbert
hard-boiled_egg,hard-cooked_egg
vanilla,vanilla_extract
cracker,snapper
paprika,pimento
brown_trout,salmon_trout
whiskey,whisky
club_soda,soda_water
candied_fruit,crystallized_fruit
cake,patty
groundnut_oil,peanut_oil
cordial,liqueur
shin,shin_bone
soda_water,sparkling_water
broth,stock
snap_pea,sugar_snap_pea
minestrone,vegetable_soup
french_beans,haricot_vert
conserve,preserve
new_york_strip,strip_steak
clove,stick
pie_crust,pie_shell
chocolate_sauce,chocolate_syrup
cashew,cashew_nut
cottage_cheese,farmer's_cheese
chicory,curly_endive
flageolet,haricot
finnan_haddock,smoked_haddock
leek,scallion
scotch_whiskey,scotch_whisky
fenugreek,fenugreek_seed
oil,vegetable_oil
dried_milk,milk_powder
mustard,mustard_greens
drink,toast
gelatin,jelly
pimento,pimiento
romaine,romaine_lettuce
bittersweet_chocolate,dark_chocolate
chard,spinach_beet
black_bread,pumpernickel
benne,sesame
green,leafy_vegetable
crawfish,crayfish
bordeaux,bordeaux_wine
crayfish,rock_lobster
scotch,scotch_whiskey
pork_roast,roast_pork
