Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chili_con_carne,0,54,48,10
onion,1,37,56,10
tomato,2,36,30,10
garlic,3,25,37,10
coriander_seed,4,24,34,10
oregano,5,19,21,10
lime,6,18,16,10
cumin_seed,7,18,20,10
corn,8,16,14,10
peppercorn,9,16,16,9
chicken,10,15,12,10
tortilla,11,14,9,10
carrot,12,13,9,9
bay_leaf,13,12,8,9
pork,14,11,9,8
chicken_stock,15,10,2,10
red_pepper,16,9,2,9
cinnamon,17,9,5,6
thyme,18,8,2,8
lard,19,8,4,7
tomatillo,20,8,2,8
avocado,21,7,2,7
parsley,22,7,2,7
potato,23,7,4,6
flour,24,6,4,4
allspice,25,5,2,5
almond,26,5,2,5
rice,27,5,3,4
raisin,28,5,2,5
shrimp,29,4,2,4
egg,30,4,2,4
red_onion,31,4,2,4
beef,32,4,2,4
spring_onion,33,4,2,4
vinegar,34,4,2,4
sweet_pepper,35,3,2,3
cider_vinegar,36,3,1,4
orange,37,3,2,3
green_olive,38,3,2,3
green,39,3,2,3
chipotle,40,3,2,3
sugar,41,2,2,2
adobo,42,2,2,2
shoulder,43,2,1,3
celery,44,2,1,3
turtle_bean,45,2,1,3
cheese,46,1,1,2
grain,47,1,1,2
cheddar_cheese,48,1,1,2
radish,49,1,1,2
tequila,50,1,1,2
safflower_oil,51,1,1,2
bacon,52,1,1,2
lettuce,53,1,1,2
sausage,54,1,1,2
mushroom,55,1,1,2
pumpkin_seed,56,1,1,2
orange_juice,57,1,1,2
butter,58,1,1,2
chorizo,59,1,1,2
berry,60,1,1,2
heavy_cream,61,1,1,2
sesame_seed,62,1,1,2
sour_cream,63,1,1,2
peanut_oil,64,1,1,2
