Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,50,45,11
tomato,1,40,36,11
garlic,2,31,50,11
onion,3,29,43,11
bay_leaf,4,28,44,11
sweet_pepper,5,27,37,11
saffron,6,18,18,11
thyme,7,16,12,11
peppercorn,8,16,14,11
carrot,9,15,10,11
spring_onion,10,14,8,11
red_pepper,11,13,12,8
white_wine,12,12,4,11
white,13,11,2,11
sherry,14,11,8,8
potato,15,10,6,8
chilli,16,9,5,7
fish,17,8,5,6
rice,18,7,3,6
chicken,19,7,2,7
celery,20,7,2,7
chicken_stock,21,7,2,7
olive_oil,22,7,4,6
shrimp,23,7,4,6
sausage,24,7,3,6
wild_marjoram,25,6,2,6
vinegar,26,6,2,6
green_pepper,27,6,2,6
lemon,28,6,3,5
almond,29,6,3,5
cumin_seed,30,5,3,4
rosemary,31,5,2,5
bread,32,4,2,4
pork,33,4,2,4
coriander_seed,34,4,2,4
chorizo,35,4,1,5
ham,36,4,2,4
egg,37,3,2,3
cinnamon,38,3,3,2
sunflower_oil,39,2,2,2
stock,40,2,1,3
red_onion,41,2,2,2
squid,42,2,2,2
clam,43,2,2,2
green,44,2,1,3
pine_nut,45,1,1,2
mushroom,46,1,1,2
shallot,47,1,1,2
bacon,48,1,1,2
milk,49,1,1,2
brandy,50,1,1,2
mussel,51,1,1,2
sweet,52,1,1,2
pea,53,1,1,2
grain,54,1,1,2
anchovy,55,1,1,2
garbanzo,56,1,1,2
caper,57,1,1,2
