lamb heart,lamb,
vanilla liqueur,vanilla,liqueur,
saffron gin,saffron,gin,
orange vodka,orange,vodka,
beef sausage,beef,sausage,
tamarind paste,tamarind,paste,
lemon basil,lemon,basil,
raspberry jam,raspberry,
kaffir lime,kaffir,lime,
sushi rice,sushi,rice,
mate tea,tea,
duck stock,duck,
lamb brain,lamb,brain,
venison mince,venison,mince,
duck leg,duck,leg,
ham leg,ham,leg,
vermicelli noodle,vermicelli,noodle,
sweet sherry,sweet,sherry,
lamb broth,lamb,broth,
veal leg,veal,leg,
pork shoulder,pork,shoulder,
irish oat,irish,oat,
champagne wine,champagne,wine,
venison tenderloin,venison,tenderloin,
rice wine,rice,wine,
veal shoulder,veal,shoulder,
dinner roll,dinner,
apricot liqueur,apricot,liqueur,
shellfish stock,shellfish,
parsley juice,parsley,juice,
bratwurst sausage,bratwurst,sausage,
pops cereal,cereal,
spaghetti pasta,spaghetti,pasta,
green plantain,plantain,
fig jam,fig,
lobster bisque,lobster,bisque,
watermelon radish,watermelon,radish,
salmon roe,salmon,roe,
venison shoulder,venison,shoulder,
medium grain,grain,
semolina flour,semolina,flour,
formula vermouth,formula,vermouth,
garlic sausage,garlic,sausage,
mushroom soup,mushroom,soup,
jack cheese,cheese,
chocolate chip,chocolate,
puff pastry,pastry,
tuna roe,tuna,roe,
chardonnay vinegar,chardonnay,vinegar,
curry paste,curry,paste,
flour tortilla,flour,tortilla,
tangerine juice,tangerine,juice,
buffalo mozzarella,buffalo,mozzarella,
monkfish fillet,monkfish,fillet,
lamb liver,lamb,liver,
peach schnapps,peach,schnapps,
duck egg,duck,egg,
green tomato,tomato,
almond ice,almond,
fish broth,fish,broth,
saltine cracker,saltine,cracker,
beef tomato,beef,tomato,
apricot jam,apricot,
citrus vodka,citrus,vodka,
sandwich roll,sandwich,
garlic sprout,garlic,sprout,
lettuce heart,lettuce,
clam juice,clam,juice,
grain rice,grain,rice,
green grape,grape,
green cardamom,cardamom,
apple cider,apple,cider,
lamb loin,lamb,loin,
prune plum,prune,plum,
chestnut mushroom,chestnut,mushroom,
penne pasta,penne,pasta,
ham stock,ham,
apple schnapps,apple,schnapps,
cocoa paste,cocoa,paste,
pastry tart,pastry,tart,
breakfast radish,breakfast,radish,
ham broth,ham,broth,
almond paste,almond,paste,
caper berry,caper,berry,
lamb tripe,lamb,tripe,
green peppercorn,peppercorn,
beef brisket,beef,brisket,
rock mussel,mussel,
pork liver,pork,liver,
lamb sausage,lamb,sausage,
pork rib,pork,rib,
pomegranate molasses,pomegranate,molasses,
almond liqueur,almond,liqueur,
pork dripping,pork,
pork chop,pork,
pomegranate juice,pomegranate,juice,
irish cream,irish,cream,
fish roe,fish,roe,
sour apple,apple,
tarragon vinegar,tarragon,vinegar,
beef rib,beef,rib,
veal stock,veal,
muscatel raisin,muscatel,raisin,
emperor fish,emperor,fish,
clover sprout,clover,sprout,
guava paste,guava,paste,
grape tomato,grape,tomato,
turkey liver,turkey,liver,
peach juice,peach,juice,
cherry vodka,cherry,vodka,
rabbit leg,rabbit,leg,
garlic mayonnaise,garlic,mayonnaise,
veal tripe,veal,tripe,
shortbread biscuit,shortbread,biscuit,
green pumpkin,pumpkin,
veal chop,veal,
brie cheese,brie,cheese,
vermicelli pasta,vermicelli,pasta,
horseradish cream,horseradish,cream,
celery soup,celery,soup,
cream liqueur,cream,liqueur,
lamb leg,lamb,leg,
allspice berry,allspice,berry,
banana pepper,banana,pepper,
frankfurter beef,frankfurter,beef,
cranberry herbal,cranberry,herbal,
paella rice,paella,rice,
barley flour,barley,flour,
grain barley,grain,barley,
mushroom stock,mushroom,
cheese soup,cheese,soup,
garlic oil,garlic,oil,
cinnamon sugar,cinnamon,sugar,
pork sparerib,pork,sparerib,
eel sauce,eel,sauce,
lasagne pasta,lasagne,pasta,
manzanilla sherry,manzanilla,sherry,
cake flour,cake,flour,
morello cherry,morello,cherry,
vegetable stock,vegetable,
chile pepper,chile,pepper,
sour plum,plum,
meat dripping,meat,
green chile,chile,
garlic confit,garlic,confit,
simple syrup,simple,syrup,
lemon vodka,lemon,vodka,
green papaya,papaya,
hazelnut paste,hazelnut,paste,
rib chop,rib,
olive paste,olive,paste,
duck tongue,duck,
parmesan cheese,parmesan,cheese,
malt vinegar,malt,vinegar,
champagne vinegar,champagne,vinegar,
rabbit liver,rabbit,liver,
pork tripe,pork,tripe,
pork leg,pork,leg,
quahog clam,quahog,clam,
burger bun,burger,bun,
egg mayonnaise,egg,mayonnaise,
chicken mince,chicken,mince,
gorgonzola cheese,gorgonzola,cheese,
roast chicken,roast,chicken,
beef porterhouse,beef,porterhouse,
frankfurter sausage,frankfurter,sausage,
rosemary honey,rosemary,honey,
bream roe,bream,roe,
salad mix,salad,mix,
gem lettuce,gem,lettuce,
rock shrimp,shrimp,
pastry pie,pastry,pie,
veal scallop,veal,scallop,
chocolate drink,chocolate,
chicken heart,chicken,
almond milk,almond,milk,
apricot paste,apricot,paste,
rye flour,rye,flour,
pear brandy,pear,brandy,
truffle paste,truffle,paste,
hazelnut liqueur,hazelnut,liqueur,
loin chop,loin,
muenster cheese,muenster,cheese,
rock tea,tea,
chicken sausage,chicken,sausage,
duck ham,duck,ham,
vegetable broth,vegetable,broth,
chorizo sausage,chorizo,sausage,
lamb tongue,lamb,
chicken tenderloin,chicken,tenderloin,
peach nectar,peach,nectar,
quail egg,quail,egg,
game hen,hen,
pancake mix,pancake,mix,
phyllo pastry,phyllo,pastry,
beef rump,beef,rump,
green cherry,cherry,
almond flour,almond,flour,
veal mince,veal,mince,
shrimp soup,shrimp,soup,
apricot brandy,apricot,brandy,
mullet roe,mullet,roe,
apple banana,apple,banana,
meat stock,meat,
emmental cheese,emmental,cheese,
asparagus soup,asparagus,soup,
green garlic,garlic,
seltzer water,seltzer,
lobster stock,lobster,
quince paste,quince,paste,
tabasco chipotle,tabasco,chipotle,
muscatel wine,muscatel,wine,
green bacon,bacon,
